Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi,1,96606,19902,19825,"['none (76722)', 'species (19825)', 'family (20)', 'phylum (6)', 'domain (16)', 'order (12)', 'class (5)']"
Fungi;Ascomycota,2,46750,8971,8941,"['none (37781)', 'species (8941)', 'family (7)', 'domain (8)', 'order (9)', 'phylum (4)']"
Fungi;Ascomycota;Dothideomycetes,3,8454,2176,2168,"['none (6278)', 'species (2168)', 'family (3)', 'domain (4)', 'order (1)']"
Fungi;Ascomycota;Dothideomycetes;Abrothallales,4,9,4,4,"['none (5)', 'species (4)']"
Fungi;Ascomycota;Dothideomycetes;Abrothallales;Abrothallaceae,5,9,4,4,"['none (5)', 'species (4)']"
Fungi;Ascomycota;Dothideomycetes;Abrothallales;Abrothallaceae;Abrothallus,6,9,4,4,"['none (5)', 'species (4)']"
Fungi;Ascomycota;Dothideomycetes;Abrothallales;Abrothallaceae;Abrothallus;Abrothallus subhalei,7,1,0,0,['none (1)']
Fungi;Mucoromycota,2,1114,129,129,"['none (985)', 'species (129)']"
Fungi;Mucoromycota;Mucoromycetes,3,663,112,112,"['none (551)', 'species (112)']"
Fungi;Mucoromycota;Mucoromycetes;Mucorales,4,658,112,112,"['none (546)', 'species (112)']"
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae,5,205,35,35,"['none (170)', 'species (35)']"
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor,6,156,26,26,"['none (130)', 'species (26)']"
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;Mucor inaequisporus,7,5,3,3,"['none (2)', 'species (3)']"
Fungi;Ascomycota;Saccharomycetes,3,1723,754,745,"['species (745)', 'none (971)', 'domain (1)', 'order (6)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales,4,1721,752,743,"['species (743)', 'none (971)', 'domain (1)', 'order (6)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales fam Incertae sedis,5,515,230,223,"['species (223)', 'none (286)', 'order (6)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales fam Incertae sedis;Candida,6,221,121,121,"['species (121)', 'none (100)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales fam Incertae sedis;Candida;Candida vrieseae,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes,3,6118,1026,1026,"['none (5092)', 'species (1026)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales,4,2947,285,285,"['none (2662)', 'species (285)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae,5,2096,156,156,"['none (1940)', 'species (156)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala,6,159,38,38,"['none (121)', 'species (38)']"
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala lecanii-corni,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Capnodiales,4,291,44,44,"['species (44)', 'none (247)']"
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Johansoniaceae,5,1,1,1,['species (1)']
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Johansoniaceae;Johansonia,6,1,1,1,['species (1)']
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Johansoniaceae;Johansonia;Johansonia chapadensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales,4,388,124,124,"['none (264)', 'species (124)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae,5,168,42,42,"['none (126)', 'species (42)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia,6,13,1,1,"['none (12)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia;Lasiodiplodia venezuelensis,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neofusicoccum,6,22,3,3,"['none (19)', 'species (3)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neofusicoccum;Neofusicoccum magniconidium,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neofusicoccum;Neofusicoccum mangiferae,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Alanphillipsia,6,4,4,4,['species (4)']
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Alanphillipsia;Alanphillipsia aloes,7,1,1,1,['species (1)']
Fungi;Ascomycota;Dothideomycetes;Venturiales,4,1256,74,74,"['none (1182)', 'species (74)']"
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae,5,246,30,30,"['none (216)', 'species (30)']"
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Scolecobasidium,6,55,9,9,"['none (46)', 'species (9)']"
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Scolecobasidium;Scolecobasidium lascauxense,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Neofusicladium,6,3,3,3,['species (3)']
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Neofusicladium;Neofusicladium eucalypti,7,1,1,1,['species (1)']
Fungi;Ascomycota;Sordariomycetes,3,11767,365,364,"['none (11402)', 'species (364)', 'order (1)']"
Fungi;Ascomycota;Sordariomycetes;Xylariales,4,1824,134,134,"['none (1690)', 'species (134)']"
Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae,5,305,26,26,"['none (279)', 'species (26)']"
Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Annulohypoxylon,6,42,2,2,"['none (40)', 'species (2)']"
Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Annulohypoxylon;Annulohypoxylon atroroseum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Lecanoromycetes,3,5252,1866,1865,"['species (1865)', 'none (3386)', 'family (1)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales,4,243,124,124,"['species (124)', 'none (119)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae,5,227,123,123,"['species (123)', 'none (104)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Glypholecia,6,2,2,2,['species (2)']
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Glypholecia;Glypholecia qinghaiensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes;Eurotiales,4,1586,315,315,"['none (1271)', 'species (315)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae,5,274,66,66,"['none (208)', 'species (66)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces,6,178,44,44,"['none (134)', 'species (44)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces ucrainicus,7,1,0,0,['none (1)']
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces rubicundus,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota,2,39409,9781,9771,"['none (29628)', 'species (9771)', 'family (7)', 'order (1)', 'class (1)', 'domain (1)']"
